"","Name","ID","Gender","Age","Country","Genres","Popularity","Followers","URI","spotify_id","name","daily_rank","daily_movement","weekly_movement","country","snapshot_date","popularity","is_explicit","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","is_single","days_since_release"
"40","TOQUEL","7AWAljMatr7bxddF4kWzXG","",0,"","['greek hip hop', 'greek trap']",66,506380,"spotify:artist:7AWAljMatr7bxddF4kWzXG","5d2ETO2YDunJTXd5yuCCRA","3:15",3,0,1,"GR","2024-01-01",70,"True",180356,"1111","2023-11-09",0.641,0.553,5,-8.273,0,0.0791,0.0848,0.0000629,0.0997,0.273,92.529,4,FALSE,53
"41","Tate McRae","45dkTj5sMRSjrmBSBeiHym","female",17,"CA","['alt z', 'pop']",84,4297648,"spotify:artist:45dkTj5sMRSjrmBSBeiHym","3rUGC1vUpkDG9CZFHMur1t","greedy",3,0,24,"NL","2024-01-01",97,"True",131872,"greedy","2023-09-15",0.75,0.733,6,-3.18,0,0.0319,0.256,0,0.114,0.844,111.018,1,TRUE,108
"42","Tate McRae","45dkTj5sMRSjrmBSBeiHym","female",17,"CA","['alt z', 'pop']",84,4297648,"spotify:artist:45dkTj5sMRSjrmBSBeiHym","3rUGC1vUpkDG9CZFHMur1t","greedy",3,-1,37,"LV","2024-01-01",97,"True",131872,"greedy","2023-09-15",0.75,0.733,6,-3.18,0,0.0319,0.256,0,0.114,0.844,111.018,1,TRUE,108
"43","Tate McRae","45dkTj5sMRSjrmBSBeiHym","female",17,"CA","['alt z', 'pop']",84,4297648,"spotify:artist:45dkTj5sMRSjrmBSBeiHym","3rUGC1vUpkDG9CZFHMur1t","greedy",3,0,42,"GB","2024-01-01",97,"True",131872,"greedy","2023-09-15",0.75,0.733,6,-3.18,0,0.0319,0.256,0,0.114,0.844,111.018,1,TRUE,108
"44","Tate McRae","45dkTj5sMRSjrmBSBeiHym","female",17,"CA","['alt z', 'pop']",84,4297648,"spotify:artist:45dkTj5sMRSjrmBSBeiHym","3rUGC1vUpkDG9CZFHMur1t","greedy",3,0,29,"CH","2024-01-01",97,"True",131872,"greedy","2023-09-15",0.75,0.733,6,-3.18,0,0.0319,0.256,0,0.114,0.844,111.018,1,TRUE,108
"45","Tate McRae","45dkTj5sMRSjrmBSBeiHym","female",17,"CA","['alt z', 'pop']",84,4297648,"spotify:artist:45dkTj5sMRSjrmBSBeiHym","3rUGC1vUpkDG9CZFHMur1t","greedy",3,-1,47,"AT","2024-01-01",97,"True",131872,"greedy","2023-09-15",0.75,0.733,6,-3.18,0,0.0319,0.256,0,0.114,0.844,111.018,1,TRUE,108
"46","Vaundy","2IUl3m1H1EQ7QfNbNWvgru","",0,"","['j-pop', 'japanese soul']",71,2064023,"spotify:artist:2IUl3m1H1EQ7QfNbNWvgru","3gQ19Wo6CbBpdHYmt2GVt0","Kaiju no Hanauta",3,1,5,"JP","2024-01-01",47,"False",224804,"strobo","2020-05-27",0.335,0.943,2,-3.176,1,0.067,0.00334,0,0.324,0.64,75.093,4,FALSE,1314
"47","Jimin","1oSPZhvZMIrWW5I41kPkkY","female",29,"KR","['k-pop']",81,7006338,"spotify:artist:1oSPZhvZMIrWW5I41kPkkY","3k6q0O9JnO2GhvD6C8fs20","Closer Than This",3,1,-1,"KR","2024-01-01",89,"False",223302,"Closer Than This","2023-12-22",0.716,0.54,0,-5.951,1,0.0381,0.389,0,0.0692,0.373,87.963,4,TRUE,10
"48","Bad Bunny","4q3ewBCX7sLwd24euuV69X","male",26,"PR","['reggaeton', 'trap latino', 'urbano latino']",95,77931484,"spotify:artist:4q3ewBCX7sLwd24euuV69X","4MjDJD8cW7iVeWInc2Bdyj","MONACO",4,-1,-2,"DO","2024-01-01",93,"True",267194,"nadie sabe lo que va a pasar mañana","2023-10-13",0.787,0.621,4,-5.009,0,0.068,0.15,0.000402,0.58,0.13,139.056,4,FALSE,80
"49","Taylor Swift","06HL4z0CvFAxyc27GXpf02","female",30,"US","['pop']",100,95859165,"spotify:artist:06HL4z0CvFAxyc27GXpf02","1BxfuPKGuaTgP7aM0Bbdwr","Cruel Summer",4,1,45,"US","2024-01-01",96,"False",178426,"Lover","2019-08-23",0.552,0.702,9,-5.707,1,0.157,0.117,0.0000206,0.105,0.564,169.994,4,FALSE,1592
"50","Taylor Swift","06HL4z0CvFAxyc27GXpf02","female",30,"US","['pop']",100,95859165,"spotify:artist:06HL4z0CvFAxyc27GXpf02","1BxfuPKGuaTgP7aM0Bbdwr","Cruel Summer",4,0,7,"SG","2024-01-01",96,"False",178426,"Lover","2019-08-23",0.552,0.702,9,-5.707,1,0.157,0.117,0.0000206,0.105,0.564,169.994,4,FALSE,1592
"51","Taylor Swift","06HL4z0CvFAxyc27GXpf02","female",30,"US","['pop']",100,95859165,"spotify:artist:06HL4z0CvFAxyc27GXpf02","1BxfuPKGuaTgP7aM0Bbdwr","Cruel Summer",4,2,20,"AU","2024-01-01",96,"False",178426,"Lover","2019-08-23",0.552,0.702,9,-5.707,1,0.157,0.117,0.0000206,0.105,0.564,169.994,4,FALSE,1592
"52","Jack Harlow","2LIk90788K0zvyj2JJVwkJ","mixed",7,"US","['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",83,3234628,"spotify:artist:2LIk90788K0zvyj2JJVwkJ","4xhsWYTOGcal8zt0J161CU","Lovin On Me",4,-2,22,"","2024-01-01",95,"True",138411,"Lovin On Me","2023-11-10",0.943,0.558,2,-4.911,1,0.0568,0.0026,0.00000219,0.0937,0.606,104.983,4,TRUE,52
"53","Jack Harlow","2LIk90788K0zvyj2JJVwkJ","mixed",7,"US","['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",83,3234628,"spotify:artist:2LIk90788K0zvyj2JJVwkJ","4xhsWYTOGcal8zt0J161CU","Lovin On Me",4,3,29,"LT","2024-01-01",95,"True",138411,"Lovin On Me","2023-11-10",0.943,0.558,2,-4.911,1,0.0568,0.0026,0.00000219,0.0937,0.606,104.983,4,TRUE,52
"54","Jack Harlow","2LIk90788K0zvyj2JJVwkJ","mixed",7,"US","['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",83,3234628,"spotify:artist:2LIk90788K0zvyj2JJVwkJ","4xhsWYTOGcal8zt0J161CU","Lovin On Me",4,1,46,"DK","2024-01-01",95,"True",138411,"Lovin On Me","2023-11-10",0.943,0.558,2,-4.911,1,0.0568,0.0026,0.00000219,0.0937,0.606,104.983,4,TRUE,52
"55","Jack Harlow","2LIk90788K0zvyj2JJVwkJ","mixed",7,"US","['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",83,3234628,"spotify:artist:2LIk90788K0zvyj2JJVwkJ","4xhsWYTOGcal8zt0J161CU","Lovin On Me",4,0,39,"DE","2024-01-01",95,"True",138411,"Lovin On Me","2023-11-10",0.943,0.558,2,-4.911,1,0.0568,0.0026,0.00000219,0.0937,0.606,104.983,4,TRUE,52
"56","King Gnu","6wxfx1yhyqjCPYwwxJktR2","mixed",3,"JP","['j-pop', 'j-rock']",73,3100880,"spotify:artist:6wxfx1yhyqjCPYwwxJktR2","0GWNtMohuYUEHVZ40tcnHF","SPECIALZ",4,-1,1,"JP","2024-01-01",83,"False",238986,"SPECIALZ","2023-09-01",0.566,0.85,6,-4.431,0,0.0599,0.0663,0,0.319,0.722,117.048,4,TRUE,122
"57","KeBlack","7x3eTVPlBiPjXHn3qotY86","male",0,"","['french hip hop', 'pop urbaine', 'r&b francais']",63,1201616,"spotify:artist:7x3eTVPlBiPjXHn3qotY86","2ImdwbujxKFxN1UxEvf2dD","LAISSE MOI",4,0,2,"FR","2024-01-01",78,"True",168620,"LAISSE MOI","2023-09-08",0.765,0.717,10,-7.877,0,0.349,0.456,0.0000101,0.126,0.695,120.025,4,TRUE,115
"58","Ocean Alley","18lpwfiys4GtdHWNUu9qQr","mixed",0,"AU","['australian reggae fusion', 'australian surf rock']",66,497090,"spotify:artist:18lpwfiys4GtdHWNUu9qQr","7to68V64Cu6zk0UDo5tyw3","Confidence",4,-1,29,"NZ","2024-01-01",81,"False",253076,"Chiaroscuro","2018-03-09",0.59,0.562,11,-9.607,0,0.0505,0.0637,0,0.105,0.561,140.835,4,FALSE,2124
"59","Omer Adam","1IAEef07H0fd9aA8aUHUlL","male",26,"IL","['israeli mediterranean', 'israeli pop', 'mizrahi']",59,1102370,"spotify:artist:1IAEef07H0fd9aA8aUHUlL","0SMDtYt5HghaTMFc61nCnP","ואיך שלא",4,-1,-1,"IL","2024-01-01",61,"False",204075,"ואיך שלא","2023-12-12",0.671,0.44,2,-8.386,1,0.0331,0.773,0.00000206,0.342,0.308,109.858,4,TRUE,20
"60","Tate McRae","45dkTj5sMRSjrmBSBeiHym","female",17,"CA","['alt z', 'pop']",84,4297648,"spotify:artist:45dkTj5sMRSjrmBSBeiHym","3rUGC1vUpkDG9CZFHMur1t","greedy",4,0,37,"IE","2024-01-01",97,"True",131872,"greedy","2023-09-15",0.75,0.733,6,-3.18,0,0.0319,0.256,0,0.114,0.844,111.018,1,TRUE,108
"61","Emilia","0AqlFI0tz2DsEoJlKSIiT9","female",42,"SE","['pop argentino']",78,2010757,"spotify:artist:0AqlFI0tz2DsEoJlKSIiT9","5f4mOETLngamMDTJnbF9s7","Exclusive.mp3",4,-1,0,"AR","2024-01-01",82,"False",120600,".mp3","2023-11-03",0.858,0.677,8,-4.294,1,0.118,0.106,0,0.246,0.584,100.046,4,FALSE,59
"62","nublu","2cNMMulo6S2a0tHrwX2s6i","male",0,"EE","['estonian pop']",44,60240,"spotify:artist:2cNMMulo6S2a0tHrwX2s6i","25yBeIWwwD870aYq18jvT1","heikki???",4,2,18,"EE","2024-01-01",46,"False",142655,"heikki???","2023-08-24",0.829,0.736,9,-6.43,0,0.229,0.0138,0.004,0.317,0.691,137.916,4,TRUE,130
